target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7483,0.4109,-1.2838,0.9117,0.9875,0.1212,0.086,0.4844,s1423,s713
total_negative_slack_ns,47,-2.7861,18.3705,-125.0044,0.7985,0.9958,5.9793,1.8403,55.2116,s27,s38584a
