epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
82,0.15319014,0.86671335,0.7644602,0.32912603,0.70051503,0.589032
83,0.15324685,0.8670012,0.76465446,0.3183833,0.70562994,0.59256977
84,0.15230118,0.8673145,0.765425,0.31255966,0.7106706,0.5960742
85,0.15202944,0.86765444,0.7668117,0.3102678,0.7156315,0.59948695
86,0.15200076,0.86801416,0.7684632,0.30996832,0.7205288,0.6029686
87,0.15167406,0.8683872,0.77008045,0.30013096,0.72535384,0.60660267
88,0.15074609,0.86877215,0.7716395,0.29582244,0.7301434,0.610586
89,0.1501615,0.8691651,0.7727623,0.29158872,0.7348747,0.6146309
90,0.14950584,0.86956215,0.77360076,0.28773037,0.7395445,0.6183451
91,0.1500551,0.8699554,0.7742086,0.28808403,0.7441534,0.6218735
92,0.14991072,0.87034017,0.77423185,0.27595112,0.7487004,0.6254109
93,0.14875479,0.87071335,0.77430594,0.2755037,0.75317466,0.6288045
94,0.14811574,0.8710753,0.7747921,0.27298552,0.75756675,0.63207465
95,0.14747052,0.8714247,0.7755703,0.26802972,0.76192915,0.6351017
96,0.14785841,0.87176,0.7761858,0.26767424,0.7662712,0.6380427
97,0.14692183,0.8720771,0.7765637,0.25691974,0.77062434,0.64101994
98,0.14743023,0.8723734,0.7773615,0.2506608,0.7749132,0.64420307
99,0.14577147,0.8726474,0.7782661,0.24690542,0.7791387,0.6474531
100,0.14593992,0.8728983,0.77895164,0.2452014,0.7832546,0.65062714
101,0.1467809,0.8731395,0.77927256,0.2418582,0.78728735,0.6536249
102,0.14521769,0.873378,0.7791594,0.23880562,0.7912744,0.6565955
103,0.1463172,0.87361366,0.77847135,0.23033515,0.79523194,0.659451
104,0.14441738,0.8738375,0.77734786,0.23411211,0.79913056,0.6616799
105,0.14580026,0.8740503,0.7764771,0.22500762,0.80293435,0.6638311
106,0.1443182,0.87426263,0.7766296,0.22095034,0.80668736,0.66601217
107,0.14364815,0.8744755,0.7778865,0.21931978,0.8104396,0.6683072
108,0.14427206,0.8746837,0.7790855,0.21470606,0.8141535,0.6715225
109,0.14367728,0.874894,0.78025377,0.21342278,0.81778514,0.6749567
110,0.14370295,0.8750968,0.78113836,0.20882985,0.8213566,0.6781414
111,0.1428583,0.87529165,0.78131086,0.2042953,0.82487506,0.6812315
112,0.14221814,0.87548125,0.7812515,0.2045511,0.8283507,0.68411314
113,0.14240053,0.8756666,0.7812475,0.19703265,0.8317669,0.6866894
114,0.14192024,0.87585175,0.78167486,0.19365607,0.83508414,0.6893078
