fold,target,best_epoch,best_test_r2,stopped_epoch
1,worst_slack_ns,77,0.8962465524673462,150
1,total_negative_slack_ns,376,0.9943339228630066,400
2,worst_slack_ns,97,0.7860480546951294,150
2,total_negative_slack_ns,399,0.9051641821861267,400
3,worst_slack_ns,393,0.8028054237365723,400
3,total_negative_slack_ns,207,0.7398343086242676,257
4,worst_slack_ns,400,0.8328673243522644,400
4,total_negative_slack_ns,92,0.49869805574417114,150
5,worst_slack_ns,244,0.9298511743545532,294
5,total_negative_slack_ns,389,0.9573757648468018,400
