epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
1,1.0303986,-0.008884871,-0.031692468,1.0430231,-0.020177757,-0.5809859
2,1.0103067,0.010867464,-0.013792336,1.020467,0.0006169677,-0.5176374
3,0.9913641,0.029822886,0.0034146428,1.0003862,0.020328403,-0.4561325
4,0.97219753,0.048065852,0.019950699,0.98052347,0.0390916,-0.39632386
5,0.9546455,0.06570765,0.035903227,0.9625673,0.057007633,-0.33817354
6,0.93745023,0.08288334,0.051364064,0.9444464,0.074160255,-0.2816463
7,0.91944295,0.09968865,0.066375695,0.9276139,0.09060508,-0.22653982
8,0.9032701,0.11622961,0.08105849,0.91099817,0.10642062,-0.17285442
9,0.88654596,0.13258572,0.09546963,0.89626426,0.12170609,-0.12089503
10,0.8707485,0.14884065,0.10962751,0.8805793,0.1365303,-0.0709178
11,0.8544119,0.16505684,0.12369579,0.86612225,0.15093379,-0.023306955
12,0.8380882,0.18127863,0.13781255,0.8515769,0.1649654,0.021495676
13,0.82257044,0.19753814,0.15206818,0.8371917,0.17860147,0.062937476
14,0.8061703,0.21387248,0.16648696,0.8237828,0.19184618,0.10056324
15,0.7900828,0.23028985,0.1811469,0.81075513,0.20471916,0.134052
16,0.77424526,0.24680614,0.19605774,0.79790485,0.21720567,0.1631141
17,0.7574524,0.26342624,0.21122055,0.7861079,0.22930221,0.1874822
18,0.7417324,0.28016233,0.22677903,0.77390957,0.24099764,0.20711443
19,0.7251501,0.29702577,0.24284932,0.7618291,0.25227505,0.22210176
20,0.70860815,0.3140265,0.25932366,0.75161266,0.26309833,0.23276965
21,0.6919581,0.3311828,0.27615672,0.7390237,0.27344945,0.23954034
22,0.6755954,0.34850112,0.2933386,0.73026943,0.2832829,0.24300805
23,0.65841085,0.36599764,0.31088597,0.7194166,0.29259977,0.2439812
24,0.64095116,0.38368514,0.32885957,0.7096209,0.301416,0.24329977
25,0.6233835,0.40156707,0.34720668,0.7024522,0.30977124,0.24184299
26,0.6054286,0.41962934,0.36587945,0.69540745,0.3177032,0.24043897
27,0.58825696,0.4378644,0.38493857,0.68569475,0.32524404,0.23966448
28,0.56990236,0.45626092,0.4043649,0.67784625,0.3324049,0.24005476
29,0.5520065,0.47479177,0.42405757,0.6709696,0.33920628,0.2416945
30,0.53354657,0.4934371,0.44385114,0.664544,0.34569424,0.24487415
31,0.51510143,0.5121624,0.46377572,0.65820277,0.35192794,0.24953577
32,0.49780816,0.5309334,0.48375517,0.6539115,0.35796577,0.255701
33,0.47785574,0.5497155,0.50367415,0.6443775,0.36386085,0.26301214
34,0.461199,0.56847334,0.5233334,0.63916993,0.36964732,0.27111435
35,0.44149932,0.58716375,0.5426532,0.63512236,0.3753752,0.2798029
36,0.42461783,0.6057247,0.56150466,0.6272666,0.38109678,0.28885317
37,0.40512985,0.6240891,0.5798212,0.6240357,0.3868371,0.2979783
38,0.3881244,0.64219093,0.59754807,0.6183567,0.3926044,0.30699602
39,0.36974564,0.65994865,0.6144822,0.6113979,0.39844403,0.3157938
40,0.3533801,0.6772804,0.6306418,0.60681313,0.404406,0.32417673
41,0.33597365,0.6940916,0.64594954,0.6015866,0.4105041,0.33205813
42,0.3201471,0.710291,0.6604705,0.59720963,0.41673556,0.3394022
43,0.3041645,0.72577983,0.6742684,0.58930284,0.42311484,0.34622714
44,0.28916684,0.7404742,0.68720835,0.58226144,0.42963547,0.35249496
45,0.2751333,0.75428975,0.69944155,0.57725763,0.43628687,0.3582384
46,0.2617483,0.76714945,0.710888,0.5703417,0.44305697,0.36346427
47,0.24914989,0.77897704,0.721645,0.5628175,0.44994363,0.3683521
48,0.23822606,0.7897152,0.7318089,0.5549501,0.45691985,0.37292203
49,0.22852893,0.79933345,0.7412326,0.5527564,0.46396047,0.37728858
50,0.21824184,0.8078135,0.74987173,0.54532343,0.47104463,0.3814768
51,0.20975146,0.81515396,0.7573516,0.5343337,0.47815242,0.38558027
52,0.20436165,0.8213871,0.76370543,0.5316655,0.4852745,0.3896454
53,0.19720298,0.8265654,0.7686733,0.5243796,0.49239403,0.3937499
54,0.19242918,0.83077204,0.77265966,0.51883376,0.49951172,0.39791274
55,0.18895945,0.8341115,0.77527666,0.51037115,0.5066544,0.402172
56,0.1849549,0.8367165,0.7769979,0.5058311,0.5138468,0.40649194
57,0.1836941,0.83872145,0.7780762,0.4940783,0.5210712,0.4108068
58,0.18120843,0.8402723,0.77900666,0.4886498,0.5283132,0.41506505
59,0.18033391,0.8415063,0.779496,0.4799982,0.535581,0.4193136
60,0.17892696,0.84255517,0.7800523,0.47361484,0.5428266,0.42350253
61,0.17842801,0.8435357,0.7804081,0.46814007,0.55002224,0.42766324
62,0.17706248,0.8445299,0.7805046,0.46206704,0.55717087,0.4319136
63,0.17648451,0.84559584,0.7807628,0.45481014,0.56426823,0.4363389
64,0.17515609,0.84676665,0.7816102,0.4480957,0.57129365,0.44088832
65,0.17465489,0.84805536,0.78326607,0.44382867,0.57822865,0.44567996
66,0.17363562,0.8494636,0.78529036,0.4403693,0.5850929,0.45079222
67,0.17236109,0.8509706,0.7872231,0.42925778,0.591846,0.45617613
68,0.17009702,0.8525478,0.7889444,0.42205963,0.59847575,0.46168137
69,0.16898343,0.8541619,0.79145557,0.41573247,0.60496414,0.467377
70,0.16725384,0.8557606,0.7934367,0.41093016,0.61130506,0.47319213
71,0.16602942,0.8572996,0.795334,0.40511018,0.6175335,0.47907972
72,0.16331753,0.858741,0.79785264,0.39507183,0.62364614,0.48506242
73,0.16276258,0.8600515,0.80004156,0.39185542,0.62964165,0.49121267
74,0.16084227,0.86121196,0.802376,0.38694268,0.63552487,0.49745616
75,0.16050518,0.86221516,0.8045362,0.38018304,0.6413156,0.5040004
76,0.15791261,0.8630651,0.80584717,0.3762281,0.6470175,0.5108069
77,0.15778571,0.86377823,0.8067813,0.37218133,0.6526327,0.51777095
78,0.15677908,0.8643626,0.80705243,0.36542287,0.65817934,0.52488184
79,0.15562399,0.8648435,0.8074015,0.3583476,0.66364396,0.531898
80,0.1549022,0.8652436,0.80794156,0.35232267,0.669009,0.53892195
81,0.15452263,0.86558455,0.8083919,0.35022634,0.6742797,0.5455429
82,0.15409753,0.8658827,0.80879486,0.34495333,0.67947185,0.5518594
83,0.15376183,0.8661541,0.808809,0.33748633,0.68458855,0.55784214
84,0.15366475,0.8664166,0.8091618,0.3301823,0.68961954,0.5634395
85,0.15309516,0.86667836,0.8097249,0.33205503,0.6945646,0.56861126
86,0.1533364,0.8669508,0.81043845,0.32487014,0.69944584,0.5734587
87,0.15225528,0.8672385,0.8112148,0.32334474,0.7042708,0.5780495
88,0.15146299,0.86754626,0.8116342,0.31439528,0.7090441,0.5824133
89,0.15144923,0.8678771,0.81172675,0.31098646,0.7137654,0.5864869
90,0.15104024,0.868223,0.81140023,0.30745474,0.71842307,0.5904382
91,0.15112798,0.86858195,0.8111149,0.30222875,0.7230241,0.59423244
92,0.15037784,0.8689493,0.81106675,0.29756674,0.72757494,0.59787333
93,0.15008673,0.869324,0.8120783,0.29148346,0.7320608,0.60118496
94,0.14995527,0.86969566,0.81339216,0.28862622,0.73648787,0.6041282
95,0.14890032,0.87005866,0.8145564,0.2846868,0.7408501,0.6066397
96,0.14927606,0.8704092,0.8154415,0.28291267,0.74516976,0.6091496
97,0.14796883,0.87074393,0.8159747,0.27783227,0.7494365,0.6115226
98,0.14843038,0.87106097,0.815791,0.27058658,0.75364697,0.613776
99,0.14728679,0.8713619,0.81506574,0.2698446,0.75778186,0.61579674
100,0.14769962,0.8716485,0.8140742,0.26816487,0.76184845,0.6175226
101,0.14741245,0.8719204,0.812973,0.2610711,0.7658762,0.6193204
102,0.14627528,0.87218106,0.8125378,0.25865424,0.76984054,0.62145245
103,0.14698552,0.8724338,0.8125216,0.24851128,0.7737568,0.623463
104,0.14614132,0.8726827,0.81315804,0.24908642,0.77762437,0.6254948
105,0.14630456,0.87292165,0.81408787,0.242065,0.78144884,0.6272687
106,0.14561662,0.8731489,0.81516427,0.24381275,0.7852274,0.6289905
107,0.14575009,0.87336606,0.81621754,0.24178746,0.78896034,0.63072324
108,0.14485773,0.8735731,0.8167615,0.23406288,0.79265356,0.6320921
109,0.14446402,0.8737712,0.8164889,0.23294881,0.7963004,0.6336872
110,0.14465375,0.87396514,0.8159727,0.22482197,0.7999048,0.63512444
111,0.14351943,0.8741552,0.815475,0.22699638,0.80344695,0.63609636
112,0.14400506,0.87434614,0.8153807,0.2190448,0.8069273,0.63719225
113,0.14298542,0.8745384,0.81582725,0.21747819,0.8103677,0.63874424
114,0.1435759,0.87472975,0.81631106,0.2116743,0.81375295,0.64054555
115,0.14283404,0.87491435,0.8161988,0.21172166,0.81712043,0.64305574
116,0.14268853,0.87509555,0.8161398,0.21070118,0.82042444,0.646029
117,0.14294434,0.8752705,0.8160326,0.20628662,0.82369536,0.6489857
118,0.14249846,0.87544215,0.81618226,0.20246057,0.82691395,0.65171874
119,0.1423275,0.87560904,0.81634474,0.19713405,0.8301048,0.65342456
120,0.14112666,0.8757715,0.81656,0.19648483,0.8332552,0.65441227
121,0.14164475,0.8759329,0.8170497,0.19568045,0.83634835,0.65521276
122,0.14203027,0.8760931,0.817688,0.18875812,0.8393911,0.6560899
123,0.14154473,0.87625664,0.81772643,0.1855305,0.8423775,0.6571394
124,0.14082395,0.8764235,0.81722355,0.1836744,0.8453371,0.65858966
125,0.14034772,0.8765914,0.8168186,0.17891443,0.84824896,0.6600961
126,0.13973117,0.87675846,0.816887,0.17517307,0.85111713,0.6622027
127,0.1398589,0.876921,0.81648904,0.17057951,0.8539273,0.6641696
128,0.13998385,0.87707865,0.81569993,0.17050655,0.8566898,0.66571105
129,0.1400949,0.87723607,0.8148998,0.17070977,0.859388,0.66668135
130,0.13970757,0.87739307,0.81452,0.16831964,0.8620723,0.66767186
131,0.13912143,0.877556,0.81480867,0.16364935,0.8646843,0.6684498
132,0.13908021,0.877717,0.8152569,0.15999767,0.86719453,0.6696773
133,0.13890167,0.87787867,0.8155486,0.15960197,0.8696545,0.6713704
134,0.13902432,0.87804174,0.816084,0.15831156,0.8720757,0.673234
135,0.13812058,0.878207,0.8162619,0.15607852,0.874468,0.6752464
136,0.137624,0.8783728,0.81582993,0.14738044,0.8768959,0.67745745
137,0.13799101,0.8785364,0.81521857,0.1458687,0.87927705,0.6796991
138,0.13790028,0.8786971,0.8151531,0.14644717,0.8815657,0.6815573
139,0.13718197,0.87885267,0.81471956,0.14514163,0.88380146,0.68243307
140,0.13805658,0.87900746,0.8146539,0.14203191,0.88596743,0.68223447
141,0.1369075,0.87916243,0.81486905,0.1392444,0.88804215,0.6824002
142,0.13711445,0.87931615,0.8154259,0.13942164,0.8900984,0.68374336
143,0.13662075,0.8794629,0.81586456,0.1375375,0.8921813,0.6858209
144,0.1362359,0.8796074,0.8158779,0.1352354,0.8942448,0.6883114
145,0.1365861,0.8797566,0.8152879,0.1307822,0.8963229,0.6907147
