split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0913,0.1258,0.9129,4.75,6.55,26.89,37.06
train,total_negative_slack_ns,2.9377,6.2264,0.9902,0.55,1.17,16.23,34.39
test,worst_slack_ns,0.0793,0.1005,0.9242,4.63,5.87,26.94,34.15
test,total_negative_slack_ns,3.9053,8.0275,0.9893,0.73,1.51,20.78,42.72
