fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.04393135756254196,0.060138165950775146,0.9839838743209839
1,delta_total_negative_slack_ns,2.960340738296509,5.334417343139648,0.9968468546867371
2,delta_worst_slack_ns,0.05100460723042488,0.0861731544137001,0.9712854623794556
2,delta_total_negative_slack_ns,11.955330848693848,36.09537124633789,0.8342846035957336
3,delta_worst_slack_ns,0.05062572658061981,0.08111919462680817,0.9709568619728088
3,delta_total_negative_slack_ns,5.776052951812744,18.5118350982666,0.9546831846237183
4,delta_worst_slack_ns,0.04065960273146629,0.05750363692641258,0.9872796535491943
4,delta_total_negative_slack_ns,1.6300930976867676,2.698789358139038,0.9523642063140869
5,delta_worst_slack_ns,0.054642193019390106,0.08596707135438919,0.9622637033462524
5,delta_total_negative_slack_ns,6.8084397315979,18.139780044555664,0.9438786506652832
