design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s27,4,total_negative_slack_ns,288,-899.7892456054688,4.428180694580078,5.15520715713501,-0.4652949869632721,0.0,-0.08177533745765686,4.346405506134033,4.428180694580078
s298,3,total_negative_slack_ns,288,-20.800819396972656,4.708710670471191,5.297616958618164,-3.157489061355591,0.0,-0.5928377509117126,4.115872859954834,4.708710670471191
s386,5,total_negative_slack_ns,288,-9.434795379638672,2.8977725505828857,3.768582344055176,-3.1184980869293213,0.0,-0.746756911277771,2.1510157585144043,2.8977725505828857
s400,4,total_negative_slack_ns,288,-8.019669532775879,4.431177616119385,4.916186809539795,-4.488002777099609,0.0,-0.8724053502082825,3.558772087097168,4.431177616119385
s526a,4,total_negative_slack_ns,288,-7.83195686340332,4.498626232147217,4.974606513977051,-4.59926700592041,0.0,-0.8958985805511475,3.6027276515960693,4.498626232147217
s382,4,total_negative_slack_ns,288,-7.731019020080566,4.724790096282959,5.166996002197266,-4.823084831237793,0.0,-0.9624850749969482,3.7623050212860107,4.724790096282959
s344,2,total_negative_slack_ns,288,-6.740358829498291,3.8714022636413574,4.490087032318115,-4.482790946960449,0.0,-0.950855016708374,2.9205472469329834,3.8714022636413574
s444,2,total_negative_slack_ns,288,-6.522321701049805,3.900365114212036,4.563601016998291,-4.594910144805908,0.0,-0.8916535973548889,3.008711576461792,3.900365114212036
s526,5,total_negative_slack_ns,288,-5.443302631378174,3.4531006813049316,4.224416255950928,-4.650142192840576,0.0,-0.8880174160003662,2.5650835037231445,3.4531006813049316
s420,3,total_negative_slack_ns,288,-5.221059799194336,3.613835573196411,4.171685695648193,-4.480721950531006,0.0,-1.081291913986206,2.532543659210205,3.613835573196411
i2c,2,total_negative_slack_ns,288,-4.354144096374512,24.866077423095703,26.658967971801758,-33.42695617675781,0.0,-7.131219863891602,17.73485565185547,24.866077423095703
s349,1,total_negative_slack_ns,288,-3.2291064262390137,3.081639289855957,3.7620294094085693,-4.973042011260986,0.0,-1.0988430976867676,1.9827961921691895,3.081639289855957
s510,1,total_negative_slack_ns,288,-3.1306405067443848,1.748178482055664,2.591121196746826,-3.521289110183716,0.0,-0.8304376602172852,0.5275396704673767,1.3579773902893066
usb_phy,1,total_negative_slack_ns,288,-2.5036706924438477,12.431757926940918,13.741543769836426,-20.32241439819336,0.0,-4.0896806716918945,8.342076301574707,12.431757926940918
simple_spi,4,total_negative_slack_ns,288,-2.497520685195923,20.098716735839844,22.60843849182129,-33.24667739868164,0.0,-7.457696914672852,12.641019821166992,20.098716735839844
s1238,3,total_negative_slack_ns,288,-2.1607913970947266,5.447626113891602,5.714699745178223,-9.127351760864258,0.0,-2.787226438522339,2.6603994369506836,5.447626113891602
s1196b,4,total_negative_slack_ns,288,-1.9578251838684082,4.4352545738220215,4.75802755355835,-7.770129203796387,0.0,-2.1623144149780273,2.272940158843994,4.4352545738220215
s1238a,2,total_negative_slack_ns,288,-1.6737737655639648,4.845342636108398,5.159797191619873,-8.9385986328125,0.0,-2.6519179344177246,2.193424701690674,4.845342636108398
s1488,2,total_negative_slack_ns,288,-1.494255542755127,5.019405364990234,5.475803375244141,-9.541492462158203,0.0,-2.5044665336608887,2.514939069747925,5.019405364990234
sasc,5,total_negative_slack_ns,288,-1.3468976020812988,13.832794189453125,16.34356689453125,-29.25296974182129,0.0,-6.715629577636719,7.11716365814209,13.832794189453125
s820a,3,total_negative_slack_ns,288,-1.2284026145935059,3.1534080505371094,3.7262229919433594,-6.843706130981445,0.0,-1.6709110736846924,1.481891393661499,3.1528024673461914
s1196,1,total_negative_slack_ns,288,-1.106628656387329,3.810926675796509,4.207752227783203,-8.146805763244629,0.0,-2.3030331134796143,1.5078930854797363,3.810926675796509
s820,4,total_negative_slack_ns,288,-0.9966471195220947,2.9924840927124023,3.527139663696289,-6.843706130981445,0.0,-1.6709110736846924,1.3121471405029297,2.983057975769043
s1196a,5,total_negative_slack_ns,288,-0.8358263969421387,3.2630462646484375,3.7484915256500244,-7.770129203796387,0.0,-2.1623144149780273,1.1007322072982788,3.2630462646484375
s1423,4,total_negative_slack_ns,288,-0.8218562602996826,15.85360336303711,20.287179946899414,-40.30670166015625,0.0,-14.81924819946289,1.0343571901321411,15.85360336303711
s1423a,3,total_negative_slack_ns,288,-0.7269853353500366,15.25319766998291,19.683414459228516,-40.895965576171875,0.0,-14.305703163146973,0.9474947452545166,15.25319766998291
s832,2,total_negative_slack_ns,288,-0.6893595457077026,2.71964955329895,3.306772470474243,-6.867057800292969,0.0,-1.7138322591781616,0.9007217884063721,2.6145541667938232
systemcdes,2,total_negative_slack_ns,288,-0.5830206871032715,25.983642578125,38.11792755126953,-83.60449981689453,0.0,-23.923463821411133,2.0601797103881836,25.983642578125
s38417,3,total_negative_slack_ns,288,-0.34546947479248047,131.84625244140625,210.96804809570312,-513.5249633789062,0.0,-134.61981201171875,-23.84132194519043,110.77848815917969
s953,2,total_negative_slack_ns,288,-0.31351590156555176,3.352184295654297,4.25591516494751,-10.15001106262207,0.0,-2.2330358028411865,1.03920316696167,3.2722387313842773
s15850,1,total_negative_slack_ns,288,-0.2561492919921875,48.136104583740234,70.6599349975586,-176.63528442382812,0.0,-55.19429016113281,-18.81139373779297,36.38289260864258
s15850a,5,total_negative_slack_ns,288,-0.25326406955718994,47.7647590637207,69.95659637451172,-183.90872192382812,0.0,-55.6925163269043,-19.484798431396484,36.20771789550781
s38584a,1,total_negative_slack_ns,288,-0.20589852333068848,139.16641235351562,213.56192016601562,-531.3651123046875,0.0,-137.66419982910156,-44.57726287841797,93.08694458007812
s38584,2,total_negative_slack_ns,288,-0.19851553440093994,139.54489135742188,212.90716552734375,-531.3651123046875,0.0,-137.66419982910156,-45.96688461303711,91.69731903076172
s832a,1,total_negative_slack_ns,288,-0.14001059532165527,2.177553415298462,2.7164251804351807,-6.867057800292969,0.0,-1.7138322591781616,0.140154629945755,1.8539869785308838
s35932,5,total_negative_slack_ns,288,-0.11388742923736572,94.42528533935547,147.9575958251953,-438.6055908203125,0.0,-88.74264526367188,-35.311729431152344,53.43092346191406
s13207,1,total_negative_slack_ns,288,-0.08839833736419678,37.290489196777344,57.740760803222656,-152.84768676757812,0.0,-39.19118118286133,-16.58341407775879,22.60776710510254
s13207a,5,total_negative_slack_ns,288,-0.022484302520751953,34.44440460205078,51.331626892089844,-141.1276397705078,0.0,-34.330806732177734,-17.48857879638672,16.84222412109375
ss_pcm,3,total_negative_slack_ns,288,-0.0013399124145507812,4.009695053100586,5.8517022132873535,-16.613008499145508,0.0,-3.321835517883301,0.45810699462890625,3.779942750930786
s9234,4,total_negative_slack_ns,288,0.023382127285003662,10.789836883544922,16.862512588500977,-44.81858444213867,0.0,-12.493487358093262,-4.837553024291992,7.655934810638428
s5378,3,total_negative_slack_ns,288,0.03548771142959595,9.900120735168457,15.780184745788574,-42.78767776489258,0.0,-11.415985107421875,-3.9635636806488037,7.452421188354492
s953a,1,total_negative_slack_ns,288,0.03644537925720215,2.750321388244629,3.6451334953308105,-10.15001106262207,0.0,-2.2330358028411865,0.2032182514667511,2.4362542629241943
s9234a,3,total_negative_slack_ns,288,0.06463444232940674,10.789694786071777,16.58831214904785,-45.17364501953125,0.0,-12.543959617614746,-5.33403205871582,7.209928512573242
s5378a,2,total_negative_slack_ns,288,0.11123985052108765,9.895977973937988,15.04294204711914,-43.22509002685547,0.0,-11.281671524047852,-5.198567867279053,6.083104133605957
s641,1,total_negative_slack_ns,288,0.38829654455184937,2.6121792793273926,3.456785202026367,-11.92619514465332,0.0,-3.298856496810913,-1.2276835441589355,2.0711729526519775
