fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.11117498576641083,0.15408705174922943,0.8584120273590088
1,train,total_negative_slack_ns,2.6612117290496826,5.769334316253662,0.9912686347961426
1,test,worst_slack_ns,0.10198923945426941,0.1254846602678299,0.9153092503547668
1,test,total_negative_slack_ns,3.170269727706909,5.967613697052002,0.9942939281463623
2,train,worst_slack_ns,0.11641751229763031,0.16236889362335205,0.8474286794662476
2,train,total_negative_slack_ns,4.52311897277832,10.58973503112793,0.9721036553382874
2,test,worst_slack_ns,0.15009143948554993,0.19368362426757812,0.7783867716789246
2,test,total_negative_slack_ns,12.52149772644043,25.400772094726562,0.883228063583374
3,train,worst_slack_ns,0.08173070847988129,0.12102437764406204,0.9169139266014099
3,train,total_negative_slack_ns,2.5578935146331787,5.779585361480713,0.9918160438537598
3,test,worst_slack_ns,0.1290266066789627,0.1843324601650238,0.7812497019767761
3,test,total_negative_slack_ns,7.842668533325195,23.16710090637207,0.9011268615722656
4,train,worst_slack_ns,0.08072643727064133,0.11975947767496109,0.9137935638427734
4,train,total_negative_slack_ns,2.764923334121704,6.25046968460083,0.9926137328147888
4,test,worst_slack_ns,0.11729985475540161,0.18353374302387238,0.8182761073112488
4,test,total_negative_slack_ns,2.3353967666625977,5.3910746574401855,0.7206447124481201
5,train,worst_slack_ns,0.09498254954814911,0.13424527645111084,0.898308277130127
5,train,total_negative_slack_ns,2.763984203338623,5.744349956512451,0.9926055669784546
5,test,worst_slack_ns,0.07985863834619522,0.10262889415025711,0.9281105995178223
5,test,total_negative_slack_ns,6.108588695526123,15.11755084991455,0.9400292038917542
