split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1082,0.1471,0.8705,5.63,7.66,33.31,45.29
train,total_negative_slack_ns,20.7639,63.925,0.1077,3.91,12.03,110.34,339.71
test,worst_slack_ns,0.7445,1.5259,-11.7549,39.68,81.33,217.42,445.61
test,total_negative_slack_ns,21.839,59.1563,0.0969,4.11,11.13,127.62,345.7
