target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.4768,1.4576,-7.9713,0.8843,0.9878,0.1596,0.0999,1.23,systemcdes,s386
total_negative_slack_ns,47,-427.1318,2595.7796,-17838.1973,-18.6133,0.3888,28.0547,15.0549,150.6609,s27,s15850a
