target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,499,0.0,0.0,0.0,0.0,0.0,0.3275,0.2076,3.723,flopoco_00000_ieeefpfma,flopoco_00000_ieeefpfma
total_negative_slack_ns,499,0.0,0.0,0.0,0.0,0.0,49.3382,17.7676,2960.1509,flopoco_00000_ieeefpfma,flopoco_00000_ieeefpfma
