epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
82,0.33877406,0.6772436,0.5979539,0.44780827,0.5674716,0.70818627
83,0.33210957,0.6789018,0.5992489,0.44252545,0.5680464,0.7076107
84,0.33435047,0.68053406,0.6005478,0.45154983,0.56858623,0.70710915
85,0.3297906,0.6821513,0.6018289,0.44192934,0.5691205,0.7066635
86,0.33005345,0.68374383,0.6030201,0.44676143,0.5696593,0.70641696
87,0.32535434,0.68531716,0.60432774,0.4326304,0.57022154,0.7064787
88,0.32621735,0.6868719,0.6057151,0.4439795,0.5707737,0.70681196
89,0.32485572,0.68842965,0.60731,0.43940872,0.5713236,0.7072006
90,0.321713,0.689966,0.609038,0.43649167,0.5718385,0.70752215
91,0.32391438,0.69151384,0.6107923,0.42967027,0.57235426,0.70817596
92,0.32111874,0.69305074,0.61238176,0.4330256,0.5728186,0.7087922
93,0.32518142,0.6945682,0.61394054,0.43753165,0.57325333,0.7093298
94,0.31876388,0.6960599,0.6155044,0.43195906,0.57369024,0.70983666
95,0.3182227,0.6975392,0.6168957,0.44439298,0.57415235,0.7103305
96,0.31163082,0.69900936,0.61800206,0.44569176,0.574695,0.7108591
97,0.31329864,0.70046556,0.6191899,0.45190844,0.57522297,0.71137434
98,0.31976283,0.70190746,0.6200918,0.42787233,0.5757382,0.711692
99,0.3089013,0.7033349,0.6206883,0.44052655,0.57625186,0.7117195
100,0.31176433,0.70475173,0.62141514,0.446582,0.5767633,0.7116748
101,0.30539018,0.70615274,0.6224332,0.43257713,0.5772819,0.7116799
102,0.30779544,0.70754653,0.6236437,0.42968687,0.57775843,0.7116374
103,0.30632004,0.70893425,0.6248442,0.43353334,0.57822573,0.7118031
104,0.3019207,0.7103109,0.62614286,0.44051677,0.5787283,0.71211016
105,0.2985255,0.7116849,0.6275638,0.44615728,0.5792004,0.7124173
106,0.2937703,0.71304005,0.6288246,0.43900013,0.5796998,0.71266854
107,0.30528837,0.7143764,0.6299187,0.4301308,0.58021575,0.71281147
