target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-0.872,9.0508,-61.3904,0.8577,0.9831,0.2262,0.1273,2.5361,ss_pcm,s386
total_negative_slack_ns,47,-2.054,3.6105,-19.774,-0.6712,0.3645,19.7926,4.5346,139.4487,s298,s838
