epoch,design_name,design_id,target_name,num_recipes,overall_best_test_mae,overall_best_test_rmse,overall_best_test_r2,design_mae_mean,design_maemedian,design_rmse,design_pct_error_mean,design_pct_errormedian,design_r2,target_mean,prediction_mean
21,s1238,iscas89_0004,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.4901550873182714,0.4553329646587372,0.5641674105452932,73.84291928427979,75.97481853778129,-2.7649264438828296,-0.6376897396209339,-0.15521758422255516
21,s13207a,iscas89_0007,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.18210484785959125,0.18328526616096497,0.18455131743317846,12533300.149887392,537.272775924265,-40.05276599209676,-0.03936169141282638,-0.22146653927241763
21,s1423,iscas89_0008,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.13757232250645757,0.1429496705532074,0.14363611883457406,180.05344258913988,176.14006445052166,-39.565839360511205,-0.08553523849695921,-0.22310756100341678
21,s27,iscas89_0013,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.3725041012900571,0.35362862050533295,0.3809082177070883,1618.734654814237,1313.5006298803667,-38.368851240028675,-0.05707423388957977,-0.4295783351796369
21,s38584,iscas89_0020,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.19825752824544907,0.1254279911518097,0.28559500259515036,60.5469482331656,44.905336908489325,0.1537742510879384,-0.41574110665048164,-0.33814434132849175
21,s400,iscas89_0023,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.11793183938910563,0.0698193609714508,0.16464202480614687,36.594892969685375,27.867741665932815,0.838455563274347,-0.4380436632782221,-0.3505761039753755
21,s510,iscas89_0026,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.11533373221755028,0.09219387173652649,0.1538018804911739,27.01109868505499,23.04299658316429,0.7422445801698738,-0.467437163926661,-0.36280993310113746
21,s820,iscas89_0033,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.0934779931170245,0.07439786195755005,0.1258723751806266,108.16794868944652,78.62998417278256,-0.3985737000407812,-0.12029976490885019,-0.1869856701232493
21,s953a,iscas89_0041,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.35046298895031214,0.37937138974666595,0.3779563271252392,315.93661632154294,111.05247032300707,0.6856602490553105,-0.6085281600244343,-0.7348641127658387
21,sasc,iwls05_0009,tns,192,0.22462918603171905,0.29590192485476646,0.3995577096939087,0.18849141787116727,0.11533331871032715,0.257859762674284,105.41377635276427,59.64252507170214,0.1153530392163995,-0.31401775948082405,-0.16461879728982845
