split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0801,0.1068,0.9299,4.18,5.57,24.9,33.19
train,total_negative_slack_ns,2.669,5.7448,0.9914,0.5,1.08,15.32,32.97
test,worst_slack_ns,0.1957,0.3284,0.4821,10.34,17.35,53.13,89.17
test,total_negative_slack_ns,28.0814,65.2954,0.332,5.28,12.29,129.59,301.31
