target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7325,0.5395,-1.6747,0.9156,0.9899,0.1223,0.0836,0.6466,systemcdes,s5378a
total_negative_slack_ns,47,-3.935,21.1021,-142.2691,0.5244,0.9958,10.2081,2.6392,111.9368,s27,s38584a
