split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1075,0.1514,0.8654,5.61,7.89,32.72,46.08
train,total_negative_slack_ns,20.2974,66.5777,0.1164,3.82,12.53,108.88,357.15
test,worst_slack_ns,0.1058,0.1366,0.889,5.59,7.22,31.1,40.17
test,total_negative_slack_ns,16.1209,35.1619,0.1658,8.77,19.12,97.53,212.73
