target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7707,0.4752,-1.9691,0.8801,0.997,0.1159,0.0988,0.553,s1423,s298
total_negative_slack_ns,47,-2.2232,15.6634,-106.5934,0.7413,0.9962,4.6093,1.9891,40.7236,s27,s38584a
