target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7512,0.4169,-1.3135,0.9174,0.9901,0.1228,0.0947,0.4879,s1423,ss_pcm
total_negative_slack_ns,47,-4.2873,27.6059,-188.7069,0.7075,0.9956,6.7138,2.3481,83.4642,s27,s38584a
