target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7279,0.4694,-1.1717,0.9067,0.988,0.1268,0.084,0.542,s1423,s5378
total_negative_slack_ns,47,-4.8105,31.1133,-212.7723,0.7333,0.9971,5.982,1.9476,40.9923,s27,s38584a
