target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-3.6804,30.5096,-208.3718,0.9142,0.9804,0.2089,0.0907,4.6469,ss_pcm,s820a
total_negative_slack_ns,47,-1.8055,3.3244,-18.9641,-0.5098,0.365,19.6718,4.5438,140.3108,s298,s838
