design_name,true_mean,pred_mean,model,source_path
s344,0.2336651682853698,0.1069927588105201,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s344,0.2336651682853698,0.1180014610290527,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s349,0.2964366912841797,0.2549514170115193,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s349,0.1990944743156433,0.1192389205098152,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s349,0.1990944743156433,0.1195087432861328,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s35932,-0.0858957897406071,-0.1435877647871772,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s35932,-0.1509544253349304,-0.1755971610546112,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s35932,-0.1509544253349304,-0.4128142595291137,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s382,0.3875641310587525,0.45966234455506,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s382,0.2833471596240997,0.1935207098722458,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s382,0.2833471596240997,0.2446446418762207,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s38417,-0.024120729851226,-0.2176003995041052,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s38417,-0.1325196474790573,-0.3510815799236297,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s38417,-0.1325196474790573,-0.2413599789142608,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s38584,-0.2683070167123029,-0.2198221355055769,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s38584,-0.3516120910644531,-0.3054200708866119,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s38584,-0.3516120910644531,-0.3616014719009399,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s386,0.1986026002094149,0.1008414493563274,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s386,0.1153756901621818,0.1417276114225387,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s386,0.1153756901621818,0.161781370639801,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s400,0.4082921797409654,0.4456995714766283,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s400,0.3004477322101593,0.1763690263032913,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s400,0.3004477322101593,0.2125859558582306,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s420,0.1789006024599075,0.2707843823979298,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s420,0.0983345508575439,0.0492740198969841,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s420,0.0983345508575439,0.0134862791746854,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s444,0.4061113571748137,0.3103020761472483,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s444,0.301553338766098,0.1542533040046692,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s444,0.301553338766098,0.1533971428871154,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s510,0.2363291109912097,0.3464026154018939,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s510,0.149302139878273,0.017872504889965,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s510,0.149302139878273,0.0332187265157699,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s526,0.4054021243005991,0.2374631264867882,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
s526,0.3027075827121734,0.1790545880794525,linear_regression,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\linear_regression\run_068\design_metrics.csv
s526,0.3027075827121734,0.2155259251594543,mlp,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\results\mlp\run_074\design_metrics.csv
s5378,-0.0170834415592253,0.2766121378168463,graph_model,C:\Users\DeAndre\Documents\Spring 2026\nndl\final_project\PPA-Estimation-Project\modeling\data\wns_cross_validation_best_epoch_per_design_summary.csv
