target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0228,0.9071,0.5754,0.5918,0.0164,0.0066,0.06,0.9258
delta_total_negative_slack_ns,13536,0.0004,0.5324,18.17,18.237,0.067,0.0,5.0,0.9991
