fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.03584487736225128,0.04941433668136597,0.9891865849494934
1,delta_total_negative_slack_ns,2.994539976119995,5.562843322753906,0.9965710043907166
2,delta_worst_slack_ns,0.09611040353775024,0.1881614625453949,0.8630949258804321
2,delta_total_negative_slack_ns,18.112821578979492,40.16338348388672,0.794826865196228
3,delta_worst_slack_ns,0.061738114804029465,0.09869564324617386,0.9570075273513794
3,delta_total_negative_slack_ns,5.3059401512146,15.29854679107666,0.9690499901771545
4,delta_worst_slack_ns,0.03687009587883949,0.05397334694862366,0.9887935519218445
4,delta_total_negative_slack_ns,1.6981801986694336,2.8410446643829346,0.9472100138664246
5,delta_worst_slack_ns,0.048870623111724854,0.08086048066616058,0.96661376953125
5,delta_total_negative_slack_ns,4.883020401000977,10.906458854675293,0.9797123670578003
