target,model,min_r2_pct,median_r2_pct,max_r2_pct
worst_slack_ns,linear_regression,-336.725378036499,90.76060652732848,98.99144172668456
worst_slack_ns,mlp,-204.49590682983398,91.04393720626832,99.31952953338624
worst_slack_ns,graph_model,-174.29888043219012,87.63783999486877,97.82019814615435
total_negative_slack_ns,linear_regression,-1813.4523391723637,-58.768296241760254,19.02994513511657
total_negative_slack_ns,mlp,-1455.9735298156738,70.34611105918884,99.33041930198668
total_negative_slack_ns,graph_model,-24722.430253998034,-18.482880484941365,81.71388237267666
