split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1015,0.1434,0.8824,5.29,7.46,30.47,43.04
train,total_negative_slack_ns,3.4533,7.211,0.9885,0.65,1.36,18.18,37.97
test,worst_slack_ns,0.0723,0.0815,0.9344,7.23,8.16,26.32,29.7
test,total_negative_slack_ns,1.7156,2.3086,-0.2841,24.98,33.62,139.44,187.65
