fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.03707849234342575,0.05119145289063454,0.9883947968482971
1,delta_total_negative_slack_ns,2.763615846633911,5.162364482879639,0.997046947479248
2,delta_worst_slack_ns,0.19289487600326538,0.5168895125389099,-0.0331268310546875
2,delta_total_negative_slack_ns,16.30034065246582,41.82073211669922,0.7775444984436035
3,delta_worst_slack_ns,0.05459863692522049,0.08973807096481323,0.9644573330879211
3,delta_total_negative_slack_ns,9.304268836975098,35.42528533935547,0.8340463042259216
4,delta_worst_slack_ns,0.033509355038404465,0.04653897508978844,0.9916681051254272
4,delta_total_negative_slack_ns,1.8239320516586304,3.273952007293701,0.9298964738845825
5,delta_worst_slack_ns,0.04758661612868309,0.07734272629022598,0.9694554209709167
5,delta_total_negative_slack_ns,6.140614986419678,18.739973068237305,0.9401034712791443
