fold,target,epoch,train_loss
2,delta_total_negative_slack_ns,18,0.016185476573312783
2,delta_total_negative_slack_ns,19,0.01566918889010275
2,delta_total_negative_slack_ns,20,0.015093751262884599
2,delta_total_negative_slack_ns,21,0.014323618769220583
2,delta_total_negative_slack_ns,22,0.014487385307928105
2,delta_total_negative_slack_ns,23,0.013935752800321794
2,delta_total_negative_slack_ns,24,0.013668505217622709
2,delta_total_negative_slack_ns,25,0.013380128568648038
2,delta_total_negative_slack_ns,26,0.013281828469342298
2,delta_total_negative_slack_ns,27,0.01306504999530745
2,delta_total_negative_slack_ns,28,0.012740771915461566
2,delta_total_negative_slack_ns,29,0.012812735428949734
2,delta_total_negative_slack_ns,30,0.012828422108995126
3,delta_worst_slack_ns,1,0.6088196965076073
3,delta_worst_slack_ns,2,0.05762351262900564
3,delta_worst_slack_ns,3,0.03631944669007558
3,delta_worst_slack_ns,4,0.030691474120606455
3,delta_worst_slack_ns,5,0.02693966986360954
3,delta_worst_slack_ns,6,0.024289698497942318
3,delta_worst_slack_ns,7,0.022230134253003443
3,delta_worst_slack_ns,8,0.020615204580520328
3,delta_worst_slack_ns,9,0.019334459306988103
3,delta_worst_slack_ns,10,0.018206760145680248
3,delta_worst_slack_ns,11,0.017243032948228352
3,delta_worst_slack_ns,12,0.016465786180039594
3,delta_worst_slack_ns,13,0.015777689214164052
3,delta_worst_slack_ns,14,0.015311526298000101
3,delta_worst_slack_ns,15,0.014637953166071086
3,delta_worst_slack_ns,16,0.014372970467727435
3,delta_worst_slack_ns,17,0.013779605215970884
3,delta_worst_slack_ns,18,0.013426015050046973
3,delta_worst_slack_ns,19,0.013186826408780807
3,delta_worst_slack_ns,20,0.012902746380072588
3,delta_worst_slack_ns,21,0.012568484703133329
3,delta_worst_slack_ns,22,0.012313868888593905
3,delta_worst_slack_ns,23,0.012067148859520056
3,delta_worst_slack_ns,24,0.011845564001310638
3,delta_worst_slack_ns,25,0.01161408337780781
3,delta_worst_slack_ns,26,0.011394055500321569
3,delta_worst_slack_ns,27,0.011228720755561403
3,delta_worst_slack_ns,28,0.011069801205780074
3,delta_worst_slack_ns,29,0.010899039344829425
3,delta_worst_slack_ns,30,0.010663907185240446
3,delta_total_negative_slack_ns,1,0.7769787419609159
3,delta_total_negative_slack_ns,2,0.347740913517991
3,delta_total_negative_slack_ns,3,0.22593825123114894
3,delta_total_negative_slack_ns,4,0.14511925809913212
3,delta_total_negative_slack_ns,5,0.08121483749029232
3,delta_total_negative_slack_ns,6,0.04986488538091643
3,delta_total_negative_slack_ns,7,0.03574754511229476
3,delta_total_negative_slack_ns,8,0.029351375572252692
3,delta_total_negative_slack_ns,9,0.025422426594192523
3,delta_total_negative_slack_ns,10,0.023146287837659405
