fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.1135445237159729,0.157856285572052,0.8514003157615662
1,train,total_negative_slack_ns,2.791715621948242,6.0781660079956055,0.9903088212013245
1,test,worst_slack_ns,0.10429880023002625,0.1294243484735489,0.909907877445221
1,test,total_negative_slack_ns,5.09478235244751,11.1728515625,0.9799984097480774
2,train,worst_slack_ns,0.11370620131492615,0.1584051102399826,0.8547869920730591
2,train,total_negative_slack_ns,3.2291088104248047,6.1033759117126465,0.9907334446907043
2,test,worst_slack_ns,0.18336668610572815,0.2565726935863495,0.6111063957214355
2,test,total_negative_slack_ns,5.359321594238281,9.065901756286621,0.9851246476173401
3,train,worst_slack_ns,0.08028995990753174,0.11871066689491272,0.920060396194458
3,train,total_negative_slack_ns,2.8722920417785645,6.335782527923584,0.990165114402771
3,test,worst_slack_ns,0.11663966625928879,0.17094038426876068,0.8118802309036255
3,test,total_negative_slack_ns,10.64841079711914,34.83754348754883,0.7764215469360352
4,train,worst_slack_ns,0.08162137120962143,0.12177449464797974,0.910868227481842
4,train,total_negative_slack_ns,3.0636777877807617,6.121446132659912,0.9929155707359314
4,test,worst_slack_ns,0.12357517331838608,0.18693938851356506,0.8114694356918335
4,test,total_negative_slack_ns,2.7383904457092285,5.343768119812012,0.7255258560180664
5,train,worst_slack_ns,0.10254727303981781,0.1441192626953125,0.8827989101409912
5,train,total_negative_slack_ns,2.7069499492645264,5.389322757720947,0.9934912919998169
5,test,worst_slack_ns,0.10242664813995361,0.13908100128173828,0.8679735660552979
5,test,total_negative_slack_ns,6.055164337158203,14.777779579162598,0.9426946043968201
