epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
121,0.8611698,0.72665024,0.80475575,0.6673466
122,0.86136407,0.7262462,0.80810535,0.66931987
123,0.86156094,0.7263477,0.81141603,0.6717661
124,0.86176556,0.72865975,0.8146735,0.6731361
125,0.86196595,0.7312348,0.81790614,0.6752188
126,0.8621639,0.7323085,0.82110775,0.67861533
127,0.86236453,0.7331608,0.82429016,0.6819071
128,0.86256546,0.7334447,0.82739484,0.68487525
129,0.8627653,0.732546,0.83043385,0.6878191
130,0.86295915,0.73145396,0.83351874,0.689646
131,0.8631479,0.73006177,0.836636,0.6903081
132,0.86333835,0.729697,0.8397472,0.68989885
133,0.86353296,0.72993326,0.8427303,0.6901765
134,0.8637352,0.7313307,0.8456396,0.6921259
135,0.8639333,0.73243624,0.84851193,0.69523597
136,0.86412704,0.7340712,0.8513358,0.6996114
137,0.8643172,0.7360892,0.8540107,0.7052179
138,0.86450756,0.7372178,0.8565488,0.7097087
139,0.86469823,0.73800564,0.85917807,0.7124397
140,0.86488473,0.7392218,0.8620189,0.7128118
141,0.86507225,0.7386992,0.86482924,0.71163595
142,0.86525375,0.73887503,0.8674474,0.7110534
143,0.8654325,0.74043083,0.8699807,0.71265996
144,0.8656163,0.744576,0.872481,0.7167655
145,0.86579543,0.7479732,0.8748641,0.72270155
146,0.8659775,0.7492585,0.8771446,0.72828805
147,0.86616814,0.7481085,0.8794903,0.73218906
148,0.86635387,0.7473327,0.8818828,0.7343447
149,0.8665365,0.7463813,0.8843016,0.73459965
150,0.8667201,0.74600315,0.8865727,0.73580116
151,0.8669027,0.7467606,0.8887903,0.7376797
152,0.8670835,0.7480619,0.8909856,0.7413211
153,0.86726433,0.7495758,0.89313734,0.7456589
154,0.86744463,0.75032496,0.89523476,0.7498765
155,0.8676299,0.74980646,0.8972823,0.7539344
156,0.8678176,0.74848443,0.8993227,0.75668716
157,0.86800057,0.74838763,0.90131074,0.75936735
158,0.86818194,0.7478217,0.9034109,0.7603498
159,0.86836153,0.74705637,0.905488,0.7600219
160,0.868546,0.74807024,0.907424,0.7604036
161,0.8687283,0.7490323,0.909246,0.7610803
162,0.86890984,0.75077415,0.9110892,0.7641318
