fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.06150498613715172,0.0810043215751648,0.970941424369812
1,delta_total_negative_slack_ns,33.01593780517578,63.98457717895508,0.5463481545448303
2,delta_worst_slack_ns,0.37355372309684753,1.0044898986816406,-2.9016594886779785
2,delta_total_negative_slack_ns,43.37538528442383,74.81889343261719,0.2879960536956787
3,delta_worst_slack_ns,0.0717630684375763,0.09351477026939392,0.9614027142524719
3,delta_total_negative_slack_ns,25.43548583984375,61.89535140991211,0.49338704347610474
4,delta_worst_slack_ns,0.0762634351849556,0.0975540354847908,0.963390052318573
4,delta_total_negative_slack_ns,16.900859832763672,20.400686264038086,-1.721980094909668
5,delta_worst_slack_ns,0.06918975710868835,0.09164521843194962,0.9571141004562378
5,delta_total_negative_slack_ns,31.390249252319336,53.42047882080078,0.5132796764373779
