target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7548,0.4358,-1.4809,0.917,0.991,0.1209,0.0958,0.5056,s1423,s713
total_negative_slack_ns,47,-3.7493,26.0964,-178.4383,0.6901,0.9967,4.7877,2.02,35.3105,s27,s38584a
