fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,105,0.9153092503547668,400
1,total_negative_slack_ns,392,0.9942939281463623,400
2,worst_slack_ns,63,0.7783867716789246,400
2,total_negative_slack_ns,200,0.883228063583374,400
3,worst_slack_ns,400,0.7812497019767761,400
3,total_negative_slack_ns,397,0.9011268615722656,400
4,worst_slack_ns,400,0.8182761073112488,400
4,total_negative_slack_ns,364,0.7206447124481201,400
5,worst_slack_ns,301,0.9281105995178223,400
5,total_negative_slack_ns,364,0.9400292038917542,400
