epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-0.011251688,-0.0145202875,0.04298556,0.017542124
2,0.003982961,0.0065954924,0.05874771,0.031939924
3,0.019037843,0.027300179,0.074086726,0.04584098
4,0.034019172,0.04772806,0.08915657,0.059506893
5,0.04900092,0.06796825,0.10406482,0.0730446
6,0.064000785,0.08813119,0.11885375,0.08652836
7,0.07905674,0.10817289,0.13361478,0.09999579
8,0.094231725,0.12814158,0.14829808,0.11334342
9,0.109564066,0.14806569,0.16289347,0.12657762
10,0.1250847,0.16796672,0.17725909,0.13966882
11,0.14079452,0.18779927,0.19135022,0.15259296
12,0.1567024,0.20757169,0.20515627,0.16538316
13,0.17283297,0.22732395,0.21861237,0.1778664
14,0.18920761,0.24709284,0.23168117,0.19002402
15,0.20582163,0.26684546,0.24438155,0.20185953
16,0.22267044,0.28661937,0.2567066,0.21335316
17,0.23980272,0.30644488,0.26854348,0.22427386
18,0.25723326,0.32630324,0.27983654,0.23450339
19,0.27496678,0.3461476,0.29053676,0.24397492
20,0.29301572,0.36603206,0.30060208,0.2525491
21,0.31140435,0.3858893,0.30995506,0.26007634
22,0.3301115,0.40553665,0.31863803,0.2666061
23,0.34908628,0.42478234,0.3266554,0.27210706
24,0.36826932,0.4434787,0.3340289,0.27658445
25,0.38761145,0.46148968,0.34085786,0.28011453
26,0.4070611,0.4786446,0.34718937,0.28276163
27,0.42659402,0.49482757,0.35310918,0.2846586
28,0.4461828,0.5099947,0.35874587,0.28603053
29,0.46576864,0.52416426,0.36421454,0.28713608
30,0.48532033,0.53732944,0.3695585,0.28815705
31,0.5048132,0.5495497,0.3747691,0.28925186
32,0.52422345,0.56089205,0.3798414,0.29053634
33,0.5434958,0.57138836,0.3849315,0.2923069
34,0.562559,0.5813223,0.38990724,0.29447138
35,0.581362,0.5910277,0.3948735,0.29716963
36,0.599856,0.6008793,0.39969897,0.30021846
37,0.61799276,0.61131686,0.4045186,0.3038019
38,0.63571787,0.62262285,0.40940046,0.3081119
39,0.6529678,0.63510334,0.41439438,0.3130507
40,0.6696676,0.64905304,0.41952264,0.31853455
41,0.6857602,0.66472846,0.42478192,0.32454866
42,0.7011492,0.6821414,0.43013275,0.3308831
43,0.71576154,0.7011126,0.435463,0.33727098
44,0.7294924,0.7213867,0.44077206,0.34348303
45,0.7422638,0.74258006,0.4460789,0.3495794
46,0.7539743,0.7640685,0.4515382,0.35561275
47,0.7645292,0.785177,0.45723325,0.36159396
48,0.77385604,0.80515516,0.46315676,0.36761016
49,0.7819354,0.8234447,0.46929193,0.37364537
50,0.788791,0.8395953,0.4756496,0.37958616
51,0.79449004,0.85320836,0.48222238,0.38542122
52,0.7991514,0.8642966,0.48897856,0.3912176
53,0.8029382,0.8730698,0.49578786,0.3967803
54,0.80602336,0.8796852,0.50254333,0.40207994
55,0.8085778,0.8844042,0.50919914,0.40715587
56,0.8107608,0.88739395,0.5157434,0.41218126
57,0.81270325,0.88886964,0.5222541,0.41719192
