epoch,mean_loss_worst_slack_ns,mean_train_r2_worst_slack_ns,mean_test_r2_worst_slack_ns,mean_loss_total_negative_slack_ns,mean_train_r2_total_negative_slack_ns,mean_test_r2_total_negative_slack_ns
82,0.1541717,0.86562634,0.75696117,0.34555086,0.67683697,0.54091936
83,0.1538454,0.86587983,0.75826895,0.33748382,0.68233615,0.54584974
84,0.15351209,0.86614704,0.7594469,0.3346253,0.6877552,0.55062234
85,0.15251824,0.8664339,0.7606007,0.33317602,0.69308364,0.5552608
86,0.15277222,0.86674595,0.7616057,0.32729435,0.6983457,0.55964196
87,0.15201028,0.8670788,0.7625645,0.31675497,0.7035481,0.5640136
88,0.15194902,0.86742747,0.76327103,0.316463,0.7087014,0.568267
89,0.1515517,0.867784,0.764027,0.31441885,0.7137872,0.57221854
90,0.15132704,0.8681477,0.76473975,0.30773002,0.71881664,0.57587403
91,0.15052155,0.86851615,0.7654917,0.30273443,0.72378004,0.57955205
92,0.15046546,0.86889,0.76630706,0.29667765,0.7286786,0.58333826
93,0.14989439,0.8692692,0.76749927,0.29364854,0.73352,0.5872452
94,0.14956692,0.86963594,0.76898247,0.28940758,0.7383076,0.591082
95,0.14894989,0.8699853,0.7702117,0.28414991,0.7430334,0.5948327
96,0.14874741,0.87031746,0.77142924,0.27992085,0.7477104,0.5984694
97,0.148492,0.87063634,0.77231705,0.27642685,0.75232744,0.602292
98,0.1483388,0.8709461,0.7727576,0.2705969,0.7569195,0.606357
99,0.1477963,0.87123907,0.7728616,0.26532373,0.7614674,0.6107451
100,0.14681491,0.871511,0.77288646,0.266956,0.76593965,0.6153556
101,0.14697543,0.87176836,0.77306384,0.2569399,0.77036065,0.6198627
102,0.1469888,0.87201244,0.7735616,0.2533142,0.7747495,0.6243477
103,0.14641978,0.8722478,0.77415335,0.24716096,0.7790781,0.62875587
104,0.14543171,0.8724756,0.77478397,0.24417584,0.7833601,0.6329135
105,0.14579496,0.8726981,0.7755272,0.2363965,0.78755444,0.63724095
106,0.14599535,0.8729121,0.7762101,0.23754096,0.7916723,0.641156
107,0.14494412,0.87312376,0.7768256,0.23385361,0.79572153,0.6452061
108,0.14507215,0.8733352,0.7777153,0.22743876,0.79971784,0.64943415
109,0.144497,0.8735483,0.7786213,0.22637442,0.80366296,0.6539389
110,0.14423987,0.87375295,0.77956504,0.22182408,0.8075554,0.6578202
111,0.14416058,0.87394714,0.78029305,0.21931699,0.81135225,0.6609929
112,0.1437613,0.87413454,0.78094316,0.21242459,0.8150643,0.6646575
113,0.14372459,0.87432414,0.781637,0.21172154,0.8187318,0.6686541
114,0.14297262,0.8745141,0.7820268,0.21284194,0.822347,0.6722009
115,0.14207001,0.87469995,0.78239197,0.20419574,0.825843,0.6760165
116,0.14264002,0.8748743,0.7827358,0.19845049,0.8292886,0.67914605
117,0.14257495,0.8750433,0.7830747,0.19570583,0.8327203,0.68219566
118,0.14207356,0.87521076,0.78395873,0.19487047,0.8360998,0.68524265
119,0.14183524,0.8753788,0.7848739,0.187811,0.83943015,0.6881569
120,0.14207724,0.87555015,0.7859084,0.18538383,0.84266174,0.69113123
121,0.14087033,0.8757218,0.7867323,0.18297717,0.84579337,0.69401425
122,0.14195608,0.87589324,0.78725946,0.17958619,0.8488291,0.697297
123,0.14124566,0.87606657,0.787411,0.17830959,0.85182065,0.7004689
124,0.1408873,0.8762377,0.7876056,0.17646638,0.8548195,0.70310724
125,0.14040284,0.87641126,0.78775394,0.16922094,0.85780764,0.7050166
126,0.1401852,0.87658423,0.78802645,0.1686785,0.8607303,0.70783186
127,0.14052877,0.87675846,0.78839666,0.16345875,0.8636061,0.7114178
128,0.14004068,0.87693024,0.7888207,0.16304693,0.86634684,0.71505445
129,0.14009246,0.8771001,0.7892437,0.16004544,0.869027,0.71768457
