split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1076,0.1525,0.8671,5.6,7.94,32.29,45.76
train,total_negative_slack_ns,3.3081,6.8922,0.9895,0.62,1.3,17.42,36.29
test,worst_slack_ns,0.0491,0.0596,0.965,4.92,5.96,17.9,21.69
test,total_negative_slack_ns,1.3952,2.1634,-0.1276,20.32,31.5,113.41,175.84
