target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.6212,0.6116,-2.3419,0.8754,0.9976,0.147,0.0946,0.6779,i2c,s298
total_negative_slack_ns,47,-4.2245,26.9492,-183.7094,0.7554,0.9963,5.9381,1.7793,53.8321,s27,s38584
