fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,382,0.5533521175384521,400
1,total_negative_slack_ns,179,0.48811930418014526,400
2,worst_slack_ns,4,0.050694406032562256,400
2,total_negative_slack_ns,170,0.3579280376434326,400
3,worst_slack_ns,254,-0.007699370384216309,400
3,total_negative_slack_ns,274,0.5381147861480713,400
4,worst_slack_ns,270,0.3314024806022644,400
4,total_negative_slack_ns,297,0.6458593606948853,400
5,worst_slack_ns,148,0.4274027943611145,400
5,total_negative_slack_ns,169,-0.331312894821167,400
