target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-0.78,8.166,-53.0364,0.8995,0.9821,0.2088,0.096,2.3606,ss_pcm,s386
total_negative_slack_ns,47,-1.8502,3.3884,-17.3546,-0.4577,0.3633,19.5342,4.2028,139.383,s298,s838
