target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7053,0.5434,-1.458,0.9199,0.9863,0.1268,0.0881,0.6431,i2c,ss_pcm
total_negative_slack_ns,47,-5.6257,35.8668,-245.2932,0.5392,0.9965,5.9472,2.3783,64.3363,s27,s38584a
