epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-1.0298045,-4.0082345,-0.08188331,-0.11538136
2,-0.78705215,-3.3219314,-0.081079125,-0.11439109
3,-0.5802307,-2.698761,-0.08027649,-0.11341596
4,-0.40444207,-2.1405518,-0.07947552,-0.112455726
5,-0.2526573,-1.6473494,-0.078675866,-0.111510396
6,-0.12046456,-1.2178462,-0.077878,-0.11057973
7,-0.006836891,-0.84997034,-0.07708168,-0.109663844
8,0.08805764,-0.54083717,-0.07628703,-0.108762026
9,0.16448528,-0.28649795,-0.07549393,-0.10787475
10,0.22374952,-0.081852555,-0.0747025,-0.107001305
11,0.26837188,0.07938242,-0.07391274,-0.106141925
12,0.3019309,0.2044751,-0.07312465,-0.1052959
13,0.32843328,0.3010779,-0.07233822,-0.10446322
14,0.3514219,0.37637317,-0.07155359,-0.10364354
15,0.3733557,0.43636304,-0.07077074,-0.10283697
16,0.39554888,0.48554343,-0.06998932,-0.10204303
17,0.41847956,0.5268893,-0.069209695,-0.10126126
18,0.4421717,0.5620105,-0.068431854,-0.10049176
19,0.46649498,0.5914122,-0.0676558,-0.099734426
20,0.49135143,0.6148429,-0.0668813,-0.09898889
21,0.51671934,0.63166213,-0.0661087,-0.09825492
22,0.5425476,0.64111555,-0.0653379,-0.09753215
23,0.56859195,0.6424837,-0.06456876,-0.09682071
24,0.59433955,0.6351626,-0.06380141,-0.09612
25,0.61909246,0.6187504,-0.063035846,-0.09543002
26,0.6421521,0.59313995,-0.062271953,-0.094750404
27,0.66299367,0.5585807,-0.061509848,-0.09408069
28,0.6813657,0.51569605,-0.06074977,-0.09342122
29,0.69730365,0.46548086,-0.05999112,-0.09277105
30,0.7110678,0.40929043,-0.05923426,-0.092130065
31,0.72302115,0.34880263,-0.05847931,-0.09149814
32,0.7335009,0.28594732,-0.057726026,-0.09087479
33,0.7427499,0.22282177,-0.05697453,-0.09025979
34,0.7509348,0.16160375,-0.056224704,-0.08965278
35,0.7582099,0.10445309,-0.055476665,-0.08905327
36,0.7647649,0.053378284,-0.054730296,-0.08846164
37,0.77082694,0.010086477,-0.053985715,-0.08787644
38,0.77662426,-0.02415216,-0.053242803,-0.08729851
39,0.78233296,-0.04859829,-0.05250168,-0.086726665
40,0.7880272,-0.06309247,-0.051762223,-0.08616114
41,0.793663,-0.0680455,-0.051024437,-0.08560121
42,0.79911256,-0.06436014,-0.05028832,-0.08504689
43,0.8042312,-0.053303957,-0.04955411,-0.08449757
44,0.8089154,-0.03636372,-0.04882133,-0.08395314
45,0.8131236,-0.015113831,-0.04809034,-0.08341324
46,0.81686485,0.008900762,-0.047361016,-0.0828774
47,0.8201721,0.03425443,-0.046633124,-0.082345486
48,0.82307523,0.059699178,-0.04590702,-0.08181751
49,0.82559013,0.08419305,-0.045182705,-0.08129239
50,0.8277284,0.10690206,-0.0444597,-0.08077061
51,0.82951987,0.12719631,-0.043738723,-0.080251455
52,0.8310244,0.14462107,-0.043019176,-0.07973492
53,0.8323239,0.15886676,-0.04230106,-0.07922053
54,0.83350044,0.16972923,-0.04158461,-0.07870817
