design_name,fold,target,design_rows,r2,mae,rmse,true_min,true_max,true_mean,pred_mean,mean_error
s298,3,total_negative_slack_ns,288,-19.77398109436035,4.534632205963135,5.171350955963135,-3.157489061355591,0.0,-0.5928377509117126,3.9417943954467773,4.534632205963135
s386,5,total_negative_slack_ns,288,-11.757794380187988,3.48184871673584,4.167003154754639,-3.1184980869293213,0.0,-0.746756911277771,2.7350919246673584,3.48184871673584
s526,5,total_negative_slack_ns,288,-6.924184322357178,4.066520690917969,4.68478536605835,-4.650142192840576,0.0,-0.8880174160003662,3.1785032749176025,4.066520690917969
s344,2,total_negative_slack_ns,288,-6.726646423339844,3.9958419799804688,4.48610782623291,-4.482790946960449,0.0,-0.950855016708374,3.0449867248535156,3.9958419799804688
s444,2,total_negative_slack_ns,288,-6.503942489624023,4.025300025939941,4.5580220222473145,-4.594910144805908,0.0,-0.8916535973548889,3.133646011352539,4.025300025939941
s27,4,total_negative_slack_ns,288,-5.281363487243652,0.3417724370956421,0.4304884374141693,-0.4652949869632721,0.0,-0.08177533745765686,0.23666413128376007,0.31843945384025574
s420,3,total_negative_slack_ns,288,-4.902028560638428,3.456256628036499,4.063310623168945,-4.480721950531006,0.0,-1.081291913986206,2.374964714050293,3.456256628036499
i2c,2,total_negative_slack_ns,288,-4.895021915435791,26.21202850341797,27.973127365112305,-33.42695617675781,0.0,-7.131219863891602,19.080806732177734,26.21202850341797
s510,1,total_negative_slack_ns,288,-3.4236583709716797,1.8041428327560425,2.681450605392456,-3.521289110183716,0.0,-0.8304376602172852,0.6365055441856384,1.4669432640075684
s349,1,total_negative_slack_ns,288,-3.386837959289551,3.1438205242156982,3.831542730331421,-4.973042011260986,0.0,-1.0988430976867676,2.0449774265289307,3.1438205242156982
usb_phy,1,total_negative_slack_ns,288,-2.954911470413208,13.379940032958984,14.59964370727539,-20.32241439819336,0.0,-4.0896806716918945,9.29025936126709,13.379940032958984
s1238,3,total_negative_slack_ns,288,-2.006861448287964,5.296674728393555,5.573811054229736,-9.127351760864258,0.0,-2.787226438522339,2.509449005126953,5.296674728393555
ss_pcm,3,total_negative_slack_ns,288,-1.845707893371582,8.802005767822266,9.864762306213379,-16.613008499145508,0.0,-3.321835517883301,5.480170249938965,8.802005767822266
s1238a,2,total_negative_slack_ns,288,-1.8026342391967773,4.989492893218994,5.282670021057129,-8.9385986328125,0.0,-2.6519179344177246,2.3375749588012695,4.989492893218994
s1488,2,total_negative_slack_ns,288,-1.5998458862304688,5.153364181518555,5.5905070304870605,-9.541492462158203,0.0,-2.5044665336608887,2.648898124694824,5.153364181518555
sasc,5,total_negative_slack_ns,288,-1.4120204448699951,14.055773735046387,16.568771362304688,-29.25296974182129,0.0,-6.715629577636719,7.34014368057251,14.055773735046387
s1196a,5,total_negative_slack_ns,288,-1.3271818161010742,3.8226802349090576,4.220422267913818,-7.770129203796387,0.0,-2.1623144149780273,1.6603658199310303,3.8226802349090576
s1196,1,total_negative_slack_ns,288,-1.1867334842681885,3.8919737339019775,4.28700590133667,-8.146805763244629,0.0,-2.3030331134796143,1.5889406204223633,3.8919737339019775
s820a,3,total_negative_slack_ns,288,-1.165548324584961,3.0716824531555176,3.6732962131500244,-6.843706130981445,0.0,-1.6709110736846924,1.3964009284973145,3.067312002182007
s1423,4,total_negative_slack_ns,288,-0.9733911752700806,14.914920806884766,21.11403465270996,-40.30670166015625,0.0,-14.81924819946289,0.09027783572673798,14.909525871276855
systemcdes,2,total_negative_slack_ns,288,-0.9459396600723267,31.55556297302246,42.26205825805664,-83.60449981689453,0.0,-23.923463821411133,7.632100582122803,31.55556297302246
s832,2,total_negative_slack_ns,288,-0.8081256151199341,2.8841753005981445,3.4210355281829834,-6.867057800292969,0.0,-1.7138322591781616,1.1419272422790527,2.855759620666504
s1423a,3,total_negative_slack_ns,288,-0.7112774848937988,15.18016529083252,19.59369468688965,-40.895965576171875,0.0,-14.305703163146973,0.8744628429412842,15.18016529083252
s1196b,4,total_negative_slack_ns,288,-0.6712274551391602,2.347069501876831,3.5765023231506348,-7.770129203796387,0.0,-2.1623144149780273,0.172989159822464,2.33530330657959
s9234,4,total_negative_slack_ns,288,-0.5310035943984985,12.581445693969727,21.11290740966797,-44.81858444213867,0.0,-12.493487358093262,0.033145807683467865,12.526633262634277
simple_spi,4,total_negative_slack_ns,288,-0.4633270502090454,8.315610885620117,14.623828887939453,-33.24667739868164,0.0,-7.457696914672852,0.8579145073890686,8.315610885620117
s820,4,total_negative_slack_ns,288,-0.4618457555770874,1.8222157955169678,3.018024444580078,-6.843706130981445,0.0,-1.6709110736846924,0.10519997030496597,1.776111125946045
s382,4,total_negative_slack_ns,288,-0.4148285388946533,1.1992934942245483,2.079972505569458,-4.823084831237793,0.0,-0.9624850749969482,0.21922911703586578,1.1817142963409424
s526a,4,total_negative_slack_ns,288,-0.4010927677154541,1.1310588121414185,1.9813615083694458,-4.59926700592041,0.0,-0.8958985805511475,0.21713989973068237,1.1130385398864746
s953,2,total_negative_slack_ns,288,-0.4005066156387329,3.4948835372924805,4.394585132598877,-10.15001106262207,0.0,-2.2330358028411865,1.2417011260986328,3.4747366905212402
s400,4,total_negative_slack_ns,288,-0.39536213874816895,1.1011617183685303,1.9336440563201904,-4.488002777099609,0.0,-0.8724053502082825,0.2089407742023468,1.0813461542129517
s38417,3,total_negative_slack_ns,288,-0.3476334810256958,131.79261779785156,211.13763427734375,-513.5249633789062,0.0,-134.61981201171875,-23.43851089477539,111.18128967285156
