target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-3.8612,29.5135,-201.6373,0.883,0.9876,0.2605,0.1002,4.5716,ss_pcm,s386
total_negative_slack_ns,47,-1.7252,3.1232,-16.5956,-0.4689,0.4252,19.4207,4.383,139.2335,s298,s838
