split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1199,0.1633,0.8359,6.24,8.5,37.37,50.88
train,total_negative_slack_ns,3.9253,8.603,0.9811,0.74,1.62,23.97,52.54
test,worst_slack_ns,0.1631,0.2011,0.8075,8.8,10.85,43.81,54.01
test,total_negative_slack_ns,12.8369,38.5096,0.7533,2.5,7.5,49.17,147.5
