target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7493,0.4504,-1.2258,0.9038,0.9975,0.1192,0.0943,0.5704,i2c,s298
total_negative_slack_ns,47,-12.9367,56.3173,-365.5412,0.1919,0.9959,10.4064,3.1439,136.9716,s27,s38584a
