fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,139,0.9311292171478271,400
1,total_negative_slack_ns,390,0.9870599508285522,400
2,worst_slack_ns,56,0.617781937122345,400
2,total_negative_slack_ns,12,0.07952570915222168,400
3,worst_slack_ns,400,0.8410400152206421,400
3,total_negative_slack_ns,397,0.85547935962677,400
4,worst_slack_ns,400,0.7957387566566467,400
4,total_negative_slack_ns,399,0.6664896011352539,400
5,worst_slack_ns,119,0.9304136633872986,400
5,total_negative_slack_ns,395,0.9598004817962646,400
