run_utc,run_id,design_name,design_id,recipe_id,flow_mode,top_module,clock_port,abc_fast_cfg,clock_period_ns_cfg,max_fanout_cfg,max_transition_ns_cfg,max_capacitance_ff_cfg,fanout_load_cfg,num_rtl_files,ast_json_path,ast_log_path,netlist_path,sdc_path,run_dir,area_um2,worst_slack_ns,total_negative_slack_ns,clock_period_ns_sta,utilization_pct,tool_runtime_s,status,error_stage,error_message
2026-04-19T03:09:48+00:00,flopoco_00010_fpsqrt__base,flopoco_00010_fpsqrt,flopoco_00010,base,fast,flopoco_00010_fpsqrt_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00010_fpsqrt.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00010_fpsqrt.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00010_fpsqrt__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00010_fpsqrt__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00010_fpsqrt__base,10839.5000,-0.519653,-54.453954,1.000000,1.79,49.117,success,,
2026-04-19T03:09:48+00:00,flopoco_00011_fpadd__base,flopoco_00011_fpadd,flopoco_00011,base,fast,flopoco_00011_fpadd_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00011_fpadd.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00011_fpadd.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00011_fpadd__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00011_fpadd__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00011_fpadd__base,2608.1299,0.000568,0.000000,1.000000,0.43,37.243,success,,
2026-04-19T03:09:48+00:00,flopoco_00012_fpdiv__base,flopoco_00012_fpdiv,flopoco_00012,base,fast,flopoco_00012_fpdiv_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00012_fpdiv.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00012_fpdiv.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00012_fpdiv__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00012_fpdiv__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00012_fpdiv__base,17332.8267,-2.385341,-344.905327,1.000000,2.86,59.156,success,,
2026-04-19T03:09:48+00:00,flopoco_00013_fpmult__base,flopoco_00013_fpmult,flopoco_00013,base,fast,flopoco_00013_fpmult_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00013_fpmult.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00013_fpmult.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00013_fpmult__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00013_fpmult__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00013_fpmult__base,53237.2404,-3.452912,-212.959512,1.000000,8.77,115.483,success,,
2026-04-19T03:09:48+00:00,flopoco_00014_fpsqrt__base,flopoco_00014_fpsqrt,flopoco_00014,base,fast,flopoco_00014_fpsqrt_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00014_fpsqrt.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00014_fpsqrt.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00014_fpsqrt__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00014_fpsqrt__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00014_fpsqrt__base,28691.8240,-0.971143,-375.712016,1.000000,4.73,89.759,success,,
2026-04-19T03:09:48+00:00,flopoco_00015_ieeefpfma__base,flopoco_00015_ieeefpfma,flopoco_00015,base,fast,flopoco_00015_ieeefpfma_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00015_ieeefpfma.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00015_ieeefpfma.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00015_ieeefpfma__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00015_ieeefpfma__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00015_ieeefpfma__base,13991.0679,-2.416120,-253.730867,1.000000,2.31,62.765,success,,
2026-04-19T03:09:48+00:00,flopoco_00016_fpconstmult__base,flopoco_00016_fpconstmult,flopoco_00016,base,fast,flopoco_00016_fpconstmult_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00016_fpconstmult.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00016_fpconstmult.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00016_fpconstmult__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00016_fpconstmult__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00016_fpconstmult__base,1708.7840,-0.643719,-10.710284,1.000000,0.28,46.345,success,,
2026-04-19T03:09:48+00:00,flopoco_00017_ieeefpadd__base,flopoco_00017_ieeefpadd,flopoco_00017,base,fast,flopoco_00017_ieeefpadd_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00017_ieeefpadd.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00017_ieeefpadd.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00017_ieeefpadd__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00017_ieeefpadd__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00017_ieeefpadd__base,10368.4137,-0.203865,-1.696646,1.000000,1.71,38.125,success,,
2026-04-19T03:09:48+00:00,flopoco_00018_fpadd__base,flopoco_00018_fpadd,flopoco_00018,base,fast,flopoco_00018_fpadd_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00018_fpadd.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00018_fpadd.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00018_fpadd__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00018_fpadd__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00018_fpadd__base,2913.4981,-0.334479,-7.775967,1.000000,0.48,33.751,success,,
2026-04-19T03:09:48+00:00,flopoco_00019_fpmult__base,flopoco_00019_fpmult,flopoco_00019,base,fast,flopoco_00019_fpmult_top,clk,True,1.0,,,,,1,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast/flopoco_00019_fpmult.json,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_results/ast_logs/flopoco_00019_fpmult.log,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/rtl/flopoco_00019_fpmult__abcfast_netlist.v,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/data/constraints/flopoco_00019_fpmult__base.sdc,/lustre/fs1/home/co224015/clone_test/PPA-Estimation-Project/synthesis/flopoco_runs/flopoco_00019_fpmult__base,25556.4814,-1.682034,-156.036170,1.000000,4.21,77.739,success,,
