fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.03935538977384567,0.055075157433748245,0.9865671396255493
1,delta_total_negative_slack_ns,2.6859896183013916,4.871114730834961,0.9973707795143127
2,delta_worst_slack_ns,0.3047316372394562,0.832094132900238,-1.677337884902954
2,delta_total_negative_slack_ns,23.019628524780273,50.867156982421875,0.6708947420120239
3,delta_worst_slack_ns,0.05881962925195694,0.10180507600307465,0.9542558789253235
3,delta_total_negative_slack_ns,5.90885591506958,19.40489959716797,0.9502053260803223
4,delta_worst_slack_ns,0.032541681081056595,0.04330071806907654,0.9927873015403748
4,delta_total_negative_slack_ns,1.7116751670837402,2.7613837718963623,0.9501289129257202
5,delta_worst_slack_ns,0.049832675606012344,0.08329341560602188,0.9645744562149048
5,delta_total_negative_slack_ns,4.9655890464782715,11.988188743591309,0.9754884243011475
