target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0032,0.9169,0.5736,0.5918,0.0181,0.0081,0.06,0.9401
delta_total_negative_slack_ns,13536,0.0017,0.5344,18.1872,18.237,0.0498,0.0,5.0,1.0
