target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,-3.5183,28.1463,-192.2947,0.8971,0.9879,0.2646,0.0963,5.7193,systemcdes,s386
total_negative_slack_ns,47,-1.9034,3.6614,-19.5257,-0.5849,0.1875,19.9869,4.4086,135.2896,i2c,usb_phy
