fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.04552019387483597,0.061952099204063416,0.9830030798912048
1,delta_total_negative_slack_ns,2.9722249507904053,4.969884395599365,0.9972630739212036
2,delta_worst_slack_ns,0.05892432853579521,0.08675651252269745,0.9708953499794006
2,delta_total_negative_slack_ns,4.03058385848999,7.578882694244385,0.9926941394805908
3,delta_worst_slack_ns,0.05406442657113075,0.08741465210914612,0.9662739634513855
3,delta_total_negative_slack_ns,7.36678409576416,26.560924530029297,0.9067075252532959
4,delta_worst_slack_ns,0.03899005427956581,0.05818029120564461,0.9869785308837891
4,delta_total_negative_slack_ns,1.6977826356887817,2.860839366912842,0.9464718103408813
5,delta_worst_slack_ns,0.05132189393043518,0.07944329082965851,0.9677737951278687
5,delta_total_negative_slack_ns,9.520719528198242,30.919206619262695,0.8369500637054443
