target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0069,0.908,0.5737,0.5918,0.0181,0.0062,0.05,0.8866
delta_total_negative_slack_ns,13536,0.0014,0.5427,18.1402,18.237,0.0967,0.0,5.0,0.9979
