target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.5964,0.7173,-2.4254,0.9011,0.9868,0.1509,0.1028,0.7641,i2c,s820a
total_negative_slack_ns,47,-21.4735,130.9559,-899.7892,-0.8358,0.4578,20.0667,4.7087,139.5449,s27,s838
