split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.1332,0.1801,0.8146,6.94,9.37,39.98,54.05
train,total_negative_slack_ns,20.0861,63.7373,0.1012,3.78,12.0,105.76,335.59
test,worst_slack_ns,0.0532,0.0587,0.9661,5.32,5.87,19.38,21.37
test,total_negative_slack_ns,2.0969,2.7592,-0.8341,30.54,40.18,170.44,224.27
