fold,split,target,mae,rmse,r2
1,train,worst_slack_ns,0.11674030125141144,0.1628076732158661,0.8419320583343506
1,train,total_negative_slack_ns,2.759178400039673,5.9767842292785645,0.9906293749809265
1,test,worst_slack_ns,0.11329896003007889,0.13889090716838837,0.8962465524673462
1,test,total_negative_slack_ns,3.116830825805664,5.9466552734375,0.9943339228630066
2,train,worst_slack_ns,0.10794342309236526,0.15205886960029602,0.8661893010139465
2,train,total_negative_slack_ns,2.910698890686035,6.0447187423706055,0.9909107089042664
2,test,worst_slack_ns,0.14945517480373383,0.19030629098415375,0.7860480546951294
2,test,total_negative_slack_ns,10.118733406066895,22.890949249267578,0.9051641821861267
3,train,worst_slack_ns,0.08230738341808319,0.12148427218198776,0.9162812829017639
3,train,total_negative_slack_ns,5.178114414215088,12.775458335876465,0.9600126147270203
3,test,worst_slack_ns,0.12177455425262451,0.17501486837863922,0.8028054237365723
3,test,total_negative_slack_ns,11.105271339416504,37.5800666809082,0.7398343086242676
4,train,worst_slack_ns,0.07838204503059387,0.11665656417608261,0.9182028770446777
4,train,total_negative_slack_ns,13.821556091308594,35.88330078125,0.7565651535987854
4,test,worst_slack_ns,0.11003687232732773,0.17601130902767181,0.8328673243522644
4,test,total_negative_slack_ns,4.3619256019592285,7.221818923950195,0.49869805574417114
5,train,worst_slack_ns,0.09988625347614288,0.14031127095222473,0.8889105916023254
5,train,total_negative_slack_ns,2.8864071369171143,5.719912528991699,0.9926683306694031
5,test,worst_slack_ns,0.08076610416173935,0.10137887299060822,0.9298511743545532
5,test,total_negative_slack_ns,5.500904083251953,12.744996070861816,0.9573757648468018
