target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.7057,0.5626,-1.9234,0.9114,0.9908,0.1255,0.0879,0.65,i2c,s382
total_negative_slack_ns,47,-4.3692,30.5048,-208.617,0.7411,0.9966,5.6357,2.4044,54.8691,s27,s38584a
