epoch,train_r2_worst_slack_ns,test_r2_worst_slack_ns,train_r2_total_negative_slack_ns,test_r2_total_negative_slack_ns
1,-0.095283985,-0.05157852,-0.0426265,-0.024652839
2,-0.073378086,-0.028469563,-0.026673198,-0.013095617
3,-0.052669287,-0.0091741085,-0.011602879,-0.0066535473
4,-0.032955527,0.006630957,0.002735138,-0.0034327507
5,-0.014164329,0.019536376,0.01651597,-0.0020281076
6,0.0038143992,0.030020773,0.029797912,-0.00074493885
7,0.021118343,0.03866446,0.04274249,0.0013250709
8,0.037966967,0.045703292,0.0553841,0.004578352
9,0.05451417,0.051343918,0.06772798,0.009366691
10,0.07086551,0.05600351,0.079852104,0.015865147
11,0.087204695,0.060313165,0.09183377,0.023948312
12,0.103625774,0.064341724,0.10369694,0.033578515
13,0.12018949,0.06807524,0.11540425,0.044591844
14,0.13705277,0.071747065,0.1269151,0.056776762
15,0.15422016,0.07534778,0.13820738,0.06990659
16,0.17162901,0.07864779,0.14929199,0.083679855
17,0.18924922,0.08160043,0.16013843,0.09783852
18,0.20708978,0.08421743,0.17073953,0.112069905
19,0.22524452,0.08614665,0.18118739,0.12619108
20,0.2437436,0.08771247,0.19156098,0.13991404
21,0.26252925,0.08875507,0.2018317,0.15301937
22,0.28158218,0.08912331,0.21200389,0.16527492
23,0.30082542,0.088923514,0.22207624,0.17671144
24,0.32024932,0.08912897,0.23204398,0.18701488
25,0.33986318,0.089490354,0.24191141,0.19618624
26,0.35963565,0.09011167,0.2516784,0.2041874
27,0.37955767,0.09098685,0.26133943,0.2109713
28,0.3995769,0.09224856,0.27088094,0.21676159
29,0.41963828,0.0943532,0.28028113,0.2212888
30,0.43972236,0.097525954,0.2895252,0.2247144
31,0.45980018,0.10187018,0.2985978,0.22754157
32,0.47981232,0.10813862,0.30749702,0.22965282
33,0.49969596,0.11613858,0.31622964,0.23156118
34,0.51940894,0.12548971,0.32479334,0.23367047
35,0.5389212,0.13684374,0.33318275,0.23662066
36,0.5581556,0.15018159,0.34136045,0.24075633
37,0.5770793,0.16525167,0.34930605,0.24589396
38,0.59564614,0.18211979,0.3571086,0.25239682
39,0.6138181,0.20034128,0.3648609,0.2594037
40,0.63155645,0.22022098,0.3725158,0.26686323
41,0.64883673,0.24105805,0.37996876,0.27448416
42,0.66564775,0.26325184,0.3871193,0.28222185
43,0.6819476,0.28572553,0.3941136,0.28929168
44,0.697715,0.30879307,0.40120852,0.29561585
45,0.7129088,0.3317386,0.40836877,0.30073905
46,0.72746456,0.35401046,0.41556907,0.30403626
47,0.74131155,0.37634712,0.4227516,0.30611354
48,0.7543886,0.3980307,0.42988336,0.30687827
49,0.76663977,0.41835833,0.43700927,0.30738097
50,0.77803314,0.43723243,0.4442194,0.30755872
51,0.78852534,0.4544518,0.45153505,0.30825436
52,0.7980878,0.46990824,0.4589088,0.30901378
53,0.8066905,0.4835044,0.46634376,0.31144345
54,0.8143516,0.49623728,0.4738809,0.31634885
55,0.8211151,0.5079951,0.48155934,0.32323295
56,0.82701963,0.51888734,0.48934484,0.33152264
57,0.8321207,0.5288424,0.4973141,0.3419397
58,0.8365089,0.53766954,0.50540876,0.35318607
59,0.84028065,0.54558825,0.5136634,0.3640818
60,0.84354264,0.5524354,0.52177,0.37447762
61,0.8464029,0.55872804,0.52944636,0.38460046
62,0.84893847,0.5637639,0.53708136,0.394476
63,0.8512355,0.568493,0.5448266,0.40309906
64,0.8533829,0.5724837,0.55269027,0.41031814
65,0.85544324,0.57645524,0.56046915,0.41569072
66,0.85744524,0.5798371,0.5679649,0.42070085
67,0.85942066,0.58298934,0.5750907,0.42596382
68,0.86139077,0.585595,0.5819175,0.43187612
69,0.86337155,0.5873734,0.58851135,0.43852162
70,0.86537933,0.5881094,0.5949677,0.44540662
71,0.8673895,0.5875058,0.6012784,0.45212394
72,0.8693999,0.58590245,0.6074548,0.45845246
73,0.8713996,0.58328277,0.61353755,0.46494204
74,0.8733526,0.580579,0.6195036,0.47095895
75,0.8752164,0.5782609,0.6253276,0.47689724
76,0.8769831,0.576453,0.63105464,0.48223603
77,0.87861514,0.5752495,0.6366323,0.48595303
78,0.88008225,0.574249,0.64209425,0.4912554
79,0.8813759,0.57296556,0.6474409,0.49640554
80,0.882493,0.57169604,0.65264094,0.5023744
81,0.8834382,0.5713682,0.657722,0.5080838
82,0.88423955,0.5703074,0.6626657,0.51359653
83,0.8849373,0.567413,0.6674762,0.5193255
84,0.8855613,0.5624757,0.6722221,0.524251
85,0.88612264,0.5554888,0.6768987,0.52764297
86,0.88663936,0.5467062,0.68152964,0.5313316
87,0.88712394,0.53637934,0.6860884,0.5347603
88,0.88757575,0.52665204,0.690558,0.5364375
