target,design_count,mean_r2,std_r2,min_r2,median_r2,max_r2,mean_mae,median_mae,max_mae,worst_design_r2,best_design_r2
worst_slack_ns,47,0.5458,0.6632,-2.1281,0.887,0.9879,0.1544,0.0935,0.6388,systemcdes,ss_pcm
total_negative_slack_ns,47,-3.5548,18.1031,-118.9473,0.6648,0.9958,7.7752,1.9032,75.2732,s27,s38584
