fold,target,best_epoch,best_test_r2,completed_epoch
1,worst_slack_ns,103,0.9057155251502991,400
1,total_negative_slack_ns,397,0.9823375940322876,400
2,worst_slack_ns,10,-0.056052327156066895,400
2,total_negative_slack_ns,400,0.805814802646637,400
3,worst_slack_ns,397,0.8067207336425781,400
3,total_negative_slack_ns,390,0.9558506608009338,400
4,worst_slack_ns,400,0.821661651134491,400
4,total_negative_slack_ns,396,0.7142543196678162,400
5,worst_slack_ns,213,0.9200617671012878,400
5,total_negative_slack_ns,397,0.8014422059059143,400
