fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.0480949841439724,0.0679846927523613,0.9795317649841309
1,delta_total_negative_slack_ns,3.198420524597168,5.775491237640381,0.9963038563728333
2,delta_worst_slack_ns,0.10458891838788986,0.22440814971923828,0.8052688241004944
2,delta_total_negative_slack_ns,5.836302280426025,11.285451889038086,0.9838006496429443
3,delta_worst_slack_ns,0.0505707673728466,0.08169305324554443,0.9705444574356079
3,delta_total_negative_slack_ns,8.778905868530273,32.87836837768555,0.8570511341094971
4,delta_worst_slack_ns,0.036911170929670334,0.05468430742621422,0.9884963631629944
4,delta_total_negative_slack_ns,1.4719258546829224,2.4176416397094727,0.9617722034454346
5,delta_worst_slack_ns,0.048067718744277954,0.07159266620874405,0.9738283157348633
5,delta_total_negative_slack_ns,4.418936729431152,10.81696605682373,0.9800439476966858
