target,source_states,exact_match_rate,improvement_rate,mean_chosen_true_delta,mean_oracle_true_delta,mean_regret,median_regret,near_oracle_threshold_ns,near_oracle_rate
delta_worst_slack_ns,13536,0.0055,0.9081,0.5714,0.5918,0.0204,0.0082,0.05,0.8908
delta_total_negative_slack_ns,13536,0.0012,0.5292,18.1671,18.237,0.0699,0.0,5.0,0.9999
