split,target,mae,rmse,r2,mae_pct_of_range,rmse_pct_of_range,mae_pct_of_mean_abs_target,rmse_pct_of_mean_abs_target
train,worst_slack_ns,0.0906,0.1268,0.9109,4.72,6.6,26.69,37.36
train,total_negative_slack_ns,3.4686,7.1626,0.987,0.65,1.35,18.81,38.84
test,worst_slack_ns,0.1312,0.1563,0.8201,7.48,8.91,44.68,53.22
test,total_negative_slack_ns,3.8602,7.6143,0.9904,0.73,1.43,22.23,43.85
