metric,pre_mean,post_mean,pre_median,post_median,mean_shift,median_shift
WNS,-0.00018122975768321075,0.5737263751545978,-0.028852,0.5995099971637725,0.573907604912281,0.6283619971637725
TNS,-18.23698746247045,-0.023577382467872256,-0.072779,0.0,18.213410080002575,0.072779
