fold,target,mae,rmse,r2
1,delta_worst_slack_ns,0.051513075828552246,0.0758514553308487,0.9745208024978638
1,delta_total_negative_slack_ns,3.385225534439087,6.2535014152526855,0.9956666827201843
2,delta_worst_slack_ns,0.05234488472342491,0.08563470840454102,0.9716431498527527
2,delta_total_negative_slack_ns,6.321944713592529,14.341400146484375,0.9738397002220154
3,delta_worst_slack_ns,0.04889973998069763,0.07669591158628464,0.9740378260612488
3,delta_total_negative_slack_ns,7.109915256500244,25.002574920654297,0.9173334836959839
4,delta_worst_slack_ns,0.04064664989709854,0.05690212920308113,0.9875443577766418
4,delta_total_negative_slack_ns,1.4603090286254883,2.670192241668701,0.9533683657646179
5,delta_worst_slack_ns,0.05834769830107689,0.09564364701509476,0.9532902836799622
5,delta_total_negative_slack_ns,4.674360752105713,10.939947128295898,0.9795876145362854
